                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.3941,                0.70254,                0.99406,                 1.7982,                0.92154,                0.97028,                0.83664,                0.59471,                0.66828,                0.37309,                 1.2841,                0.58457,                0.97752,                 1.6117,                0.76582,                0.96263,               0.008482,               0.008482,               0.008482
                     26,                 1.3959,                0.70228,                0.98889,                 1.8019,                0.91877,                0.96338,                 0.8392,                0.59659,                0.67085,                0.37138,                 1.2881,                0.58213,                0.97674,                 1.6207,                0.75886,                 0.9619,               0.008416,               0.008416,               0.008416
                     27,                 1.3914,                 0.6968,                 0.9944,                 1.7975,                0.91589,                0.96857,                0.84148,                0.59991,                0.67504,                0.37599,                 1.2798,                0.57812,                0.97638,                 1.6072,                0.75423,                0.96148,                0.00835,                0.00835,                0.00835
                     28,                 1.3867,                0.69812,                0.99174,                 1.7875,                0.91703,                0.96452,                0.83879,                0.60034,                0.67543,                0.37747,                 1.2721,                0.57418,                0.97213,                 1.5995,                 0.7543,                 0.9554,               0.008284,               0.008284,               0.008284
                     29,                 1.3748,                0.68365,                0.98787,                 1.7747,                 0.8991,                0.96256,                0.84294,                0.60297,                0.67827,                 0.3792,                 1.2704,                0.56915,                0.97329,                 1.5972,                0.74566,                  0.958,               0.008284,               0.008284,               0.008284
                     30,                 1.3751,                 0.6838,                 0.9895,                 1.7759,                0.89702,                0.96179,                0.84281,                0.60541,                0.68074,                0.38138,                 1.2655,                0.56546,                0.97199,                 1.5922,                0.73897,                0.95381,               0.008152,               0.008152,               0.008152
                     31,                 1.3798,                 0.6865,                0.99066,                 1.7816,                 0.9023,                0.96128,                0.84449,                0.60657,                0.68081,                0.38246,                 1.2641,                0.56302,                0.97134,                 1.5894,                0.74037,                0.95185,               0.008086,               0.008086,               0.008086
                     32,                  1.381,                0.68601,                0.99143,                 1.7771,                 0.9009,                0.96272,                0.84249,                0.60646,                0.68021,                0.38206,                 1.2658,                0.56008,                0.97119,                 1.5906,                0.73645,                0.95312,                0.00802,                0.00802,                0.00802
                     33,                 1.3699,                0.67993,                0.98661,                 1.7753,                0.88996,                0.95929,                0.84404,                0.61036,                0.68327,                0.38332,                 1.2599,                0.55894,                0.96954,                 1.5874,                0.73239,                0.95132,               0.007954,               0.007954,               0.007954
                     34,                 1.3667,                 0.6746,                0.98644,                  1.759,                0.88324,                0.96013,                0.84546,                0.61062,                0.68462,                 0.3857,                 1.2534,                0.55356,                0.96816,                  1.579,                0.72676,                0.95292,               0.007888,               0.007888,               0.007888
                     35,                 1.3628,                0.67227,                0.98452,                 1.7556,                0.87355,                0.95937,                0.84542,                0.61154,                0.68422,                0.38525,                 1.2553,                0.55058,                0.96596,                 1.5805,                0.72058,                0.95123,               0.007822,               0.007822,               0.007822
                     36,                 1.3595,                0.67242,                0.98581,                 1.7532,                0.88545,                0.96054,                0.84811,                0.61096,                0.68581,                0.38686,                 1.2515,                0.54723,                0.96547,                 1.5762,                0.71868,                0.95066,               0.007756,               0.007756,               0.007756
